zip,science_and_eng_field,science_and_eng_related_field,business_field,education_field,arts_humanities_field
00601,479,225,391,631,252
00602,1236,908,1461,1673,686
00603,1969,747,2128,1560,1175
00606,78,15,215,131,58
00610,893,165,907,465,239
00612,3067,1518,2900,2028,1500
00616,220,210,297,218,121
00617,775,268,552,856,280
00622,190,56,307,205,80
00623,2492,620,2404,1186,603
00624,482,392,670,700,279
00627,1343,519,1334,1111,459
00631,21,9,21,68,0
00637,651,510,677,1087,346
00638,295,216,310,397,131
00641,730,263,957,1292,465
00646,2360,936,2310,1249,691
00647,104,61,176,107,90
00650,150,91,295,344,102
00652,141,114,180,16,67
00653,302,220,354,342,159
00656,619,335,634,752,221
00659,1682,600,1401,1700,850
00660,831,227,753,532,410
00662,1364,634,1410,1347,944
00664,232,147,381,656,210
00667,695,363,439,592,410
00669,675,381,699,1150,387
00670,250,73,301,265,60
00674,1643,705,1895,1180,947
00676,1107,457,1390,1496,547
00677,412,236,693,362,289
00678,688,226,957,898,465
00680,2026,634,2003,1264,601
00682,1935,353,1273,992,595
00683,1739,579,1041,860,637
00685,1187,501,1261,1383,527
00687,715,254,675,1053,378
00688,240,101,469,234,107
00690,403,77,405,192,139
00692,768,427,1594,977,561
00693,1961,809,2333,1422,907
00694,0,0,0,0,13
00698,1461,538,1662,1120,724
00703,557,303,707,604,344
00704,287,111,277,170,36
00705,710,340,1083,977,420
00707,114,65,340,606,242
00714,396,400,415,686,207
00715,97,56,74,11,21
00716,2078,713,2001,1447,686
00717,886,338,733,595,452
00718,631,210,949,1168,409
00719,641,170,961,917,308
00720,412,216,637,854,161
00723,373,153,558,666,176
00725,4190,1508,4473,3093,1799
00727,4057,939,4312,2214,1366
00728,1373,636,1926,1601,556
00729,1349,776,2562,1072,1091
00730,1532,491,1656,1110,583
00731,397,303,442,450,220
00735,307,122,667,307,188
00736,2177,643,2544,1430,1018
00738,971,386,1524,1258,825
00739,1302,631,1640,1329,652
00740,9,0,40,37,23
00741,122,0,115,79,136
00745,1173,779,2277,1701,922
00751,495,271,528,842,202
00754,1189,433,1514,1179,433
00757,944,424,782,654,424
00765,230,36,177,116,146
00766,762,294,601,683,218
00767,729,289,981,1125,365
00769,1285,455,1216,1489,574
00771,1292,343,1683,948,570
00772,297,179,405,363,324
00773,463,185,710,641,395
00775,47,14,18,16,22
00777,1407,503,2046,1479,509
00778,2497,864,3556,1706,1086
00780,921,317,716,451,382
00782,269,163,284,663,157
00783,765,432,907,1042,434
00784,1447,1001,1595,1232,471
00786,24,0,0,0,0
00791,2103,619,2480,1840,821
00794,520,316,934,987,650
00795,1454,824,1781,1500,674
00901,581,120,474,237,500
00906,0,9,12,0,0
00907,2146,515,2187,602,1303
00909,333,74,330,86,311
00911,849,225,845,304,623
00912,387,140,336,209,280
00913,367,9,181,111,279
00915,581,338,506,347,492
00917,859,365,889,475,614
00918,2034,469,1513,579,1020
00920,1259,375,1211,836,696
00921,1775,764,1946,1224,1235
00923,873,249,1152,651,873
00924,2103,838,2699,1831,1351
00925,403,99,196,133,254
00926,9752,2863,11140,4345,4174
00927,2213,454,2021,828,1021
00934,30,1,16,33,1
00936,15,0,46,0,6
00949,2468,1067,4702,2107,1626
00952,130,95,175,212,174
00953,3461,1334,4760,2311,1556
00956,2572,1100,3964,2121,1456
00957,1593,660,2334,1463,1179
00959,3037,1064,3514,1730,1346
00960,22,0,1,4,6
00961,2122,597,2554,1422,995
00962,552,205,703,345,307
00965,84,82,232,86,55
00966,2708,489,2589,536,1011
00968,854,137,609,244,294
00969,5870,1532,6477,1592,2051
00971,1124,461,2131,750,701
00976,3821,1224,4870,2167,1851
00979,1700,463,2050,736,849
00982,618,362,848,461,419
00983,1412,571,2548,1191,926
00985,1114,539,1918,1135,730
00987,3604,1098,3642,1964,2165
