zip,metro_name,metro_type,county_name,county_fips,zip_city,zip_state,zip_pop,zip_tax_returns,zip_wages
705,"San Juan, PR",Metro,Aibonito,72009,Aibonito,PR,,,
610,"Aguadilla, PR",Metro,Añasco,72011,Anasco,PR,,,
612,"Arecibo, PR",Metro,Arecibo,72013,Arecibo,PR,,,
601,"Adjuntas, PR",Micro,Adjuntas,72001,Adjuntas,PR,,,
631,"Aguadilla, PR",Metro,Lares,72081,Castaner,PR,,,
602,"Aguadilla, PR",Metro,Aguada,72003,Aguada,PR,,,
603,"Aguadilla, PR",Metro,Aguadilla,72005,Aguadilla,PR,,,
703,"San Juan, PR",Metro,Aguas Buenas,72007,Aguas Buenas,PR,,,
704,"Coco, PR",Micro,Salinas,72123,Aguirre,PR,,,
7675,"New York, NY",Metro,Bergen,34003,Westwood,NJ,24083,13245,1089095041
7677,"New York, NY",Metro,Bergen,34003,Woodcliff Lake,NJ,5471,2945,325436960
7885,"New York, NY",Metro,Morris,34027,Wharton,NJ,8999,5273,240827990
7981,"New York, NY",Metro,Morris,34027,Whippany,NJ,8057,4585,292096795
8889,"New York, NY",Metro,Hunterdon,34019,Whitehouse Station,NJ,8570,4691,401312434
7095,"New York, NY",Metro,Middlesex,34023,Woodbridge,NJ,17272,10018,528315021
7481,"New York, NY",Metro,Bergen,34003,Wyckoff,NJ,15208,8079,896273759
10451,"New York, NY",Metro,Bronx,36005,Bronx,NY,31477,19434,471446942
10452,"New York, NY",Metro,Bronx,36005,Bronx,NY,56277,33517,723508523
10453,"New York, NY",Metro,Bronx,36005,Bronx,NY,57691,34152,699611756
10454,"New York, NY",Metro,Bronx,36005,Bronx,NY,22387,13139,273119576
10455,"New York, NY",Metro,Bronx,36005,Bronx,NY,25139,14914,325274189
10456,"New York, NY",Metro,Bronx,36005,Bronx,NY,58750,34793,732907466
10457,"New York, NY",Metro,Bronx,36005,Bronx,NY,48779,29023,614273091
10458,"New York, NY",Metro,Bronx,36005,Bronx,NY,50085,29920,693447254
10459,"New York, NY",Metro,Bronx,36005,Bronx,NY,30434,17977,414021653
10460,"New York, NY",Metro,Bronx,36005,Bronx,NY,39507,23466,531807385
10461,"New York, NY",Metro,Bronx,36005,Bronx,NY,35421,21862,839765651
10462,"New York, NY",Metro,Bronx,36005,Bronx,NY,57854,35620,1197519842
10463,"New York, NY",Metro,Bronx,36005,Bronx,NY,50313,31592,1284853119
10464,"New York, NY",Metro,Bronx,36005,Bronx,NY,3381,2131,108256016
10465,"New York, NY",Metro,Bronx,36005,Bronx,NY,30798,18686,817052868
10466,"New York, NY",Metro,Bronx,36005,Bronx,NY,47658,29153,924776075
10467,"New York, NY",Metro,Bronx,36005,Bronx,NY,64907,39540,1114305720
10468,"New York, NY",Metro,Bronx,36005,Bronx,NY,55824,34706,840612915
10469,"New York, NY",Metro,Bronx,36005,Bronx,NY,47625,28964,1017556583
10470,"New York, NY",Metro,Bronx,36005,Bronx,NY,10880,7000,260963512
10471,"New York, NY",Metro,Bronx,36005,Bronx,NY,15606,9876,623827705
10472,"New York, NY",Metro,Bronx,36005,Bronx,NY,43761,26025,630416228
10473,"New York, NY",Metro,Bronx,36005,Bronx,NY,42812,26122,817850845
10474,"New York, NY",Metro,Bronx,36005,Bronx,NY,7377,4369,97578251
10475,"New York, NY",Metro,Bronx,36005,Bronx,NY,31659,21124,740068715
10001,"New York, NY",Metro,New York,36061,New York,NY,16553,12534,1031960117
10002,"New York, NY",Metro,New York,36061,New York,NY,70604,45236,1394042364
10003,"New York, NY",Metro,New York,36061,New York,NY,36569,28817,
10004,"New York, NY",Metro,New York,36061,New York,NY,2909,1967,333623384
10005,"New York, NY",Metro,New York,36061,New York,NY,6293,4697,791578339
10006,"New York, NY",Metro,New York,36061,New York,NY,2849,2236,240075649
10007,"New York, NY",Metro,New York,36061,New York,NY,5396,3551,1143186856
10009,"New York, NY",Metro,New York,36061,New York,NY,42731,31275,1572036810
10010,"New York, NY",Metro,New York,36061,New York,NY,22785,17401,2084544435
10011,"New York, NY",Metro,New York,36061,New York,NY,38784,30434,1264531973
10012,"New York, NY",Metro,New York,36061,New York,NY,17738,13415,1529644615
10013,"New York, NY",Metro,New York,36061,New York,NY,24199,15981,450956340
10014,"New York, NY",Metro,New York,36061,New York,NY,24292,19374,
10016,"New York, NY",Metro,New York,36061,New York,NY,40683,31673,1412438620
10017,"New York, NY",Metro,New York,36061,New York,NY,19975,15803,1685441363
10018,"New York, NY",Metro,New York,36061,New York,NY,5928,4416,810026753
10019,"New York, NY",Metro,New York,36061,New York,NY,31889,24515,
10020,"New York, NY",Metro,New York,36061,New York,NY,1926,1134,207363546
10021,"New York, NY",Metro,New York,36061,New York,NY,42627,29820,1022024689
10022,"New York, NY",Metro,New York,36061,New York,NY,29014,20815,731534552
10023,"New York, NY",Metro,New York,36061,New York,NY,48044,34334,1270483799
10024,"New York, NY",Metro,New York,36061,New York,NY,47261,31925,1108944328
10025,"New York, NY",Metro,New York,36061,New York,NY,70190,47778,1675737238
10026,"New York, NY",Metro,New York,36061,New York,NY,24221,16054,647150670
10027,"New York, NY",Metro,New York,36061,New York,NY,37948,25372,918919244
10028,"New York, NY",Metro,New York,36061,New York,NY,36525,25557,964357485
10029,"New York, NY",Metro,New York,36061,New York,NY,48403,31490,1050141146
10030,"New York, NY",Metro,New York,36061,New York,NY,17771,11541,345769267
10031,"New York, NY",Metro,New York,36061,New York,NY,40901,26900,718068721
10032,"New York, NY",Metro,New York,36061,New York,NY,45758,29755,754754912
10033,"New York, NY",Metro,New York,36061,New York,NY,45474,30134,881087274
10034,"New York, NY",Metro,New York,36061,New York,NY,32614,20855,604187876
714,"Guayama, PR",Metro,Arroyo,72015,Arroyo,PR,,,
616,"Arecibo, PR",Metro,Arecibo,72013,Bajadero,PR,,,
617,"San Juan, PR",Metro,Barceloneta,72017,Barceloneta,PR,,,
794,"San Juan, PR",Metro,Barranquitas,72019,Barranquitas,PR,,,
622,"San Germn, PR",Metro,Cabo Rojo,72023,Boqueron,PR,,,
623,"San Germn, PR",Metro,Cabo Rojo,72023,Cabo Rojo,PR,,,
627,"Arecibo, PR",Metro,Camuy,72027,Camuy,PR,,,
729,"San Juan, PR",Metro,Canóvanas,72029,Canovanas,PR,,,
979,"San Juan, PR",Metro,Carolina,72031,Carolina,PR,,,
982,"San Juan, PR",Metro,Carolina,72031,Carolina,PR,,,
983,"San Juan, PR",Metro,Carolina,72031,Carolina,PR,,,
985,"San Juan, PR",Metro,Carolina,72031,Carolina,PR,,,
987,"San Juan, PR",Metro,Carolina,72031,Carolina,PR,,,
736,"San Juan, PR",Metro,Cayey,72035,Cayey,PR,,,
739,"San Juan, PR",Metro,Cidra,72041,Cidra,PR,,,
769,"Coamo, PR",Micro,Coamo,72043,Coamo,PR,,,
782,"San Juan, PR",Metro,Comerío,72045,Comerio,PR,,,
783,"San Juan, PR",Metro,Corozal,72047,Corozal,PR,,,
659,"Arecibo, PR",Metro,Hatillo,72065,Hatillo,PR,,,
660,"Mayagez, PR",Metro,Hormigueros,72067,Hormigueros,PR,,,
791,"San Juan, PR",Metro,Humacao,72069,Humacao,PR,,,
662,"Aguadilla, PR",Metro,Isabela,72071,Isabela,PR,,,
664,"Jayuya, PR",Micro,Jayuya,72073,Jayuya,PR,,,
795,"Ponce, PR",Metro,Juana Díaz,72075,Juana Diaz,PR,,,
777,"San Juan, PR",Metro,Juncos,72077,Juncos,PR,,,
728,"Ponce, PR",Metro,Ponce,72113,Ponce,PR,,,
725,"San Juan, PR",Metro,Caguas,72025,Caguas,PR,,,
727,"San Juan, PR",Metro,Caguas,72025,Caguas,PR,,,
735,"San Juan, PR",Metro,Ceiba,72037,Ceiba,PR,,,
638,"San Juan, PR",Metro,Ciales,72039,Ciales,PR,,,
780,"Ponce, PR",Metro,Ponce,72113,Coto Laurel,PR,,,
775,,,Culebra,72049,Culebra,PR,,,
646,"San Juan, PR",Metro,Dorado,72051,Dorado,PR,,,
647,"Ponce, PR",Metro,Guánica,72055,Ensenada,PR,,,
738,"San Juan, PR",Metro,Fajardo,72053,Fajardo,PR,,,
650,"San Juan, PR",Metro,Florida,72054,Florida,PR,,,
652,"Arecibo, PR",Metro,Arecibo,72013,Garrochales,PR,,,
653,"Ponce, PR",Metro,Guánica,72055,Guanica,PR,,,
784,"Guayama, PR",Metro,Guayama,72057,Guayama,PR,,,
656,"Ponce, PR",Metro,Guayanilla,72059,Guayanilla,PR,,,
965,"San Juan, PR",Metro,Guaynabo,72061,Guaynabo,PR,,,
966,"San Juan, PR",Metro,Guaynabo,72061,Guaynabo,PR,,,
968,"San Juan, PR",Metro,Guaynabo,72061,Guaynabo,PR,,,
969,"San Juan, PR",Metro,Guaynabo,72061,Guaynabo,PR,,,
971,"San Juan, PR",Metro,Guaynabo,72061,Guaynabo,PR,,,
778,"San Juan, PR",Metro,Gurabo,72063,Gurabo,PR,,,
667,"San Germn, PR",Metro,Lajas,72079,Lajas,PR,,,
786,"San Juan, PR",Metro,Aibonito,72009,La Plata,PR,,,
669,"Aguadilla, PR",Metro,Lares,72081,Lares,PR,,,
670,,,Las Marías,72083,Las Marias,PR,,,
771,"San Juan, PR",Metro,Las Piedras,72085,Las Piedras,PR,,,
934,"San Juan, PR",Metro,Bayamón,72021,Fort Buchanan,PR,,,
936,"San Juan, PR",Metro,San Juan,72127,San Juan,PR,,,
772,"San Juan, PR",Metro,Loíza,72087,Loiza,PR,,,
773,"San Juan, PR",Metro,Luquillo,72089,Luquillo,PR,,,
674,"San Juan, PR",Metro,Manatí,72091,Manati,PR,,,
606,,,Maricao,72093,Maricao,PR,,,
707,"San Juan, PR",Metro,Maunabo,72095,Maunabo,PR,,,
680,"Mayagez, PR",Metro,Mayagüez,72097,Mayaguez,PR,,,
682,"Mayagez, PR",Metro,Mayagüez,72097,Mayaguez,PR,,,
715,"Ponce, PR",Metro,Ponce,72113,Mercedita,PR,,,
676,"Aguadilla, PR",Metro,Moca,72099,Moca,PR,,,
687,"San Juan, PR",Metro,Morovis,72101,Morovis,PR,,,
718,"San Juan, PR",Metro,Naguabo,72103,Naguabo,PR,,,
719,"San Juan, PR",Metro,Naranjito,72105,Naranjito,PR,,,
720,"San Juan, PR",Metro,Orocovis,72107,Orocovis,PR,,,
723,"Guayama, PR",Metro,Patillas,72109,Patillas,PR,,,
624,"Ponce, PR",Metro,Peñuelas,72111,Penuelas,PR,,,
716,"Ponce, PR",Metro,Ponce,72113,Ponce,PR,,,
717,"Ponce, PR",Metro,Ponce,72113,Ponce,PR,,,
730,"Ponce, PR",Metro,Ponce,72113,Ponce,PR,,,
731,"Ponce, PR",Metro,Ponce,72113,Ponce,PR,,,
