zip,median_earnings_male,median_earnings_female,median_earnings_male_business,median_earnings_female_management,median_earnings_male_management_computing,median_earnings_female_management_computing
601,17673,15930,22059,25382,,
602,13060,15202,24349,24468,,
603,16286,15663,39016,25310,40799,51034
606,13412,13358,13656,18245,,
610,15002,15561,30909,22948,,
612,18126,19175,29038,26065,25982,
616,16292,16119,28897,26343,,
617,17714,17543,27152,25145,,
622,18842,19637,29676,38844,,
623,17702,18665,33002,27315,38750,
23398,,,,,,
624,14858,15450,19083,22821,,
627,15335,17603,24792,23697,23043,
631,13372,15552,8250,24537,,
637,16666,21145,19764,28885,,
638,15214,16804,13967,23197,,
18225,,,,,,
641,16097,17255,22808,28311,,
646,25982,21716,50875,31731,52266,33405
647,14289,14966,13359,20250,,
650,14967,17536,19000,27560,,
652,21875,17045,29402,18839,,
4109,39375,21500,113167,,,
653,14222,14693,23750,22375,,
656,14649,15808,24026,25560,,
659,15394,16310,24229,24948,39961,
660,16355,17771,23351,27586,,
687,15906,13538,36685,21790,,
662,17084,16451,32254,23122,,
664,15699,20166,27969,27827,,
667,15460,16731,21167,25920,,
669,17537,16123,25083,24935,,
670,12454,16336,12995,28036,,
674,18775,19875,32141,30148,36042,
676,15644,14658,24425,20889,,
677,13405,14401,21759,23302,,
678,14371,14821,20993,18945,,
688,17211,16564,26667,22114,,
680,15338,14779,24036,24808,42917,63371
682,17223,14944,34367,24554,25590,
683,15896,14557,26930,22593,,
685,15279,15855,20983,22984,,
690,24028,17816,53555,19410,,
692,18583,17115,41117,27019,40781,43083
693,19119,20517,33333,25420,43929,
694,,,,,,
698,15188,17743,24367,26654,,
703,15921,16637,22299,23490,,
4492,40833,20833,50417,,,
704,17909,14725,30000,27167,,
705,17870,18490,25600,22864,31050,
707,16250,16651,21298,26339,,
714,15037,17017,22411,28939,,
715,15728,17159,16944,27500,,
4110,98750,63629,126806,76176,,
716,19214,18522,50151,29097,45625,
717,15934,14758,25750,23250,,
718,16933,17400,31141,24029,,
719,17222,15995,26976,21478,,
720,16279,18305,19896,25316,,
