zip,total_education_count,hs_diploma,some_college,associates,bachelors,advanced_degree
601,11877,3021,1358,672,1617,361
602,27654,5388,1969,3927,4440,1524
603,36273,9927,3875,3180,5407,2172
606,4270,1600,225,79,419,78
610,19450,6747,1934,1243,1999,670
612,44639,12033,6122,3699,8086,2927
616,7412,2689,785,798,855,211
617,16477,5343,1935,1459,2262,469
622,4597,1088,676,383,630,208
623,30315,7686,2786,3363,5589,1716
624,15674,4861,1694,1309,2086,437
627,23060,5686,3135,2144,3705,1061
631,1285,261,219,130,106,13
637,16630,5046,1874,1168,2715,556
638,12011,3813,1272,1202,1189,160
641,20148,5527,2775,1408,3036,671
646,25257,6113,3190,2252,5141,2405
647,3846,1271,422,210,382,156
650,9518,3695,1215,939,850,132
652,2566,765,228,296,409,109
653,8633,2952,874,575,1095,282
656,13751,4120,1394,1317,2124,437
659,28244,6152,2901,3184,4587,1646
660,12166,3632,1446,640,2090,663
662,29443,8365,3713,2267,4399,1300
664,10259,3637,1169,685,1202,424
667,17576,4463,1796,1719,1823,676
669,19034,4414,2456,954,2485,807
670,6271,1831,448,282,757,192
674,28669,7690,3293,3061,5143,1227
676,25907,7752,3155,1405,3914,1083
677,10639,2318,734,1782,1535,457
678,17982,4632,2175,2050,2653,581
680,35862,11124,4185,1610,4402,2126
682,20171,5581,2709,1165,3360,1788
683,22381,6182,2728,1329,3476,1380
685,28237,6407,3491,1551,4046,813
687,20435,5728,2394,1811,2325,750
688,9323,3111,918,771,888,263
690,3849,815,296,287,990,226
692,24024,5423,3197,2087,3080,1247
693,39790,4679,4466,4573,5878,1554
694,117,0,12,29,0,13
698,27352,7785,3217,1993,4311,1194
703,18968,6009,2086,1573,2054,461
704,5022,1523,498,382,616,265
705,16716,5201,2175,1148,2884,646
707,8024,2216,990,652,1012,355
714,12445,3879,1680,1312,1597,507
715,2581,698,281,264,187,72
716,21291,5550,2461,1492,4671,2254
717,11259,3218,1559,1164,2015,989
718,17249,5004,2103,1268,2856,511
719,20110,5642,3270,2180,2501,496
720,14491,4482,1481,815,1848,432
723,12596,3770,1656,1050,1468,458
725,58848,16845,7466,4980,10908,4155
727,38560,8321,4895,4264,8826,4062
728,27301,8567,3056,2623,4780,1312
729,34523,10425,3580,4248,5299,1551
730,23872,6956,2563,1770,3885,1487
731,9804,3316,902,553,1505,307
735,8873,2886,1362,706,1038,553
736,34258,11069,3225,2342,5723,2089
738,22508,7109,3765,1747,3835,1129
739,25465,8426,2720,2176,4225,1329
740,946,394,67,68,67,42
741,3778,1267,640,431,390,62
745,36114,11147,4444,3831,5092,1760
751,14950,5172,1524,1207,1785,553
754,26955,7388,2570,2479,3407,1341
757,14533,4391,1557,1156,2454,774
765,6232,2352,397,519,444,261
766,15984,5429,1392,1254,2064,494
767,24592,7161,2906,2424,2733,756
769,26111,8077,3017,2178,3692,1327
771,25603,8918,2893,2238,3597,1239
772,14031,5649,1215,1366,1259,309
773,13063,4516,1821,1049,1888,506
775,1128,341,126,102,78,39
777,26541,7766,3134,2904,4622,1322
778,30534,6971,3325,3553,6762,2947
780,8991,2011,940,645,1807,980
782,12212,3560,1251,1099,1185,351
783,23196,6882,2925,2257,2869,711
784,28122,9179,3898,2149,4567,1179
786,284,123,0,56,0,24
791,34794,10704,4036,3313,5580,2283
794,18791,5294,2461,1649,2779,628
795,30214,8716,3912,2517,4736,1497
901,5094,894,680,331,1101,811
906,28,0,7,0,12,9
907,14051,2225,1604,958,3734,3019
909,4119,898,696,280,709,425
911,5787,965,720,332,1644,1202
912,4352,1058,605,288,871,481
913,4507,1175,573,360,550,397
915,20172,5922,1849,1619,1784,480
917,14390,3311,1357,1703,2125,1077
918,11634,1918,1084,1253,2876,2739
920,13756,2921,1769,1637,3213,1164
921,25986,6766,2917,3408,5047,1897
923,18351,4523,2522,1722,2504,1294
924,35643,8573,5677,3563,6135,2687
925,4338,891,579,278,739,346
926,74029,13245,9825,7138,19413,12861
927,11007,1424,1282,907,3761,2776
934,117,1,2,33,28,53
936,840,216,126,56,58,9
949,53697,15666,8609,5761,9223,2747
950,0,0,0,0,0,0
951,15,8,0,0,0,0
952,6277,1869,1081,587,636,150
953,46910,11818,6112,4782,9945,3477
956,51375,13150,9599,4617,9137,2076
957,29443,7019,5529,2599,5487,1742
959,33586,7187,6317,3569,7622,3069
960,1525,532,201,58,26,7
961,23051,4378,3711,2182,5441,2249
962,13322,4093,1661,1329,1684,428
965,6046,2276,690,412,431,108
966,11376,1001,1179,965,4221,3112
968,3121,355,253,191,1240,898
969,30061,4035,3323,2371,10294,7228
971,21038,5131,2292,1981,3535,1632
976,41060,9692,5464,4096,10085,3848
979,12568,2105,2039,1141,3626,2172
982,10719,2950,1564,1320,1998,710
983,26993,7573,4924,3084,4817,1831
985,24392,7183,3831,3023,4047,1389
987,39717,9248,5811,4877,9175,3298
1001,12532,4157,2368,1417,2121,1336
1002,13028,1442,1356,610,3326,5771
1003,283,0,203,11,48,21
1005,3382,1314,760,394,451,263
1007,9955,2534,1785,1016,2247,1620
1008,896,290,209,107,147,101
1009,446,131,101,54,47,5
1010,2731,533,484,361,757,387
1011,1050,446,239,110,100,51
1012,360,117,61,19,92,57
1013,14811,5540,2560,1268,1523,785
1020,22210,8169,4427,2460,2691,1253
1022,1925,612,294,227,310,353
1026,777,237,124,63,182,140
1027,13606,4525,2441,1438,2686,1541
1028,11375,3018,2012,1175,2480,2052
1029,531,186,129,49,86,44
1030,8078,2461,1834,898,1510,772
1031,953,441,166,83,126,42
1032,454,131,62,53,84,96
1033,4441,1501,797,381,723,691
1034,1482,483,312,122,311,178
1035,3960,948,616,407,975,812
1036,3707,1104,500,578,732,610
1037,510,145,90,30,108,120
1038,2155,694,306,254,467,373
1039,1041,156,218,110,252,237
1040,26234,7285,4812,1968,3761,2319
1050,1688,659,452,160,182,130
1053,1460,398,266,90,227,303
1054,1401,163,180,67,349,560
1056,15724,5443,2894,1635,2050,1280
1057,6266,2107,1258,532,1027,746
1060,10184,1646,1509,540,2422,3616
1062,7808,1461,965,532,1974,2348
1063,10,0,10,0,0,0
1066,10,0,0,0,0,10
1068,1248,350,260,141,259,161
1069,6293,2408,1273,615,884,524
1070,442,101,93,29,94,102
1071,1027,405,190,100,193,85
1072,1050,148,145,60,268,384
1073,4259,1251,712,791,607,634
1074,211,76,22,0,70,9
1075,11805,2665,2468,1258,2393,2181
1077,6727,2231,1165,553,1163,1024
1079,454,133,160,20,68,50
1080,1531,681,245,154,167,52
1081,1322,602,258,112,179,72
1082,7233,2884,1495,598,1117,532
1083,2176,717,640,217,331,0
1084,181,48,19,3,48,56
1085,26361,7643,5149,2979,5238,2776
1086,10,0,0,5,5,0
1088,432,217,19,31,36,54
