zip,median_rent_census,median_rent_zillow_2015_01,median_rent_zillow_2015_07,median_rent_zillow_2016_01
601,367,,,
602,411,,,
603,369,,,
606,326,,,
610,419,,,
612,411,,,
616,454,,,
617,446,,,
622,564,,,
623,397,,,
624,385,,,
627,433,,,
631,289,,,
637,414,,,
638,356,,,
641,400,,,
646,666,,,
647,494,,,
650,430,,,
652,398,,,
653,354,,,
656,336,,,
659,432,,,
660,454,,,
662,467,,,
664,413,,,
667,439,,,
669,405,,,
670,294,,,
674,447,,,
676,402,,,
677,440,,,
678,393,,,
680,398,,,
682,355,,,
683,373,,,
685,359,,,
687,455,,,
688,510,,,
690,486,,,
692,510,,,
693,542,,,
694,,,,
698,406,,,
703,442,,,
704,370,,,
705,395,,,
707,337,,,
714,448,,,
715,308,,,
716,352,,,
717,379,,,
718,418,,,
719,457,,,
720,348,,,
723,357,,,
725,464,,,
727,657,,,
728,472,,,
729,483,,,
730,420,,,
731,366,,,
735,478,,,
736,458,,,
738,479,,,
739,499,,,
740,174,,,
741,597,,,
745,531,,,
751,393,,,
754,482,,,
757,415,,,
765,576,,,
766,296,,,
767,410,,,
769,420,,,
771,468,,,
772,447,,,
773,494,,,
775,520,,,
777,449,,,
778,563,,,
780,552,,,
782,355,,,
783,414,,,
784,438,,,
786,,,,
791,473,,,
794,385,,,
795,442,,,
901,501,,,
906,,,,
907,732,,,
909,462,,,
911,601,,,
912,581,,,
913,145,,,
915,392,,,
917,459,,,
918,297,,,
920,663,,,
921,547,,,
923,436,,,
924,395,,,
925,460,,,
926,664,,,
927,540,,,
934,965,,,
936,,,,
949,545,,,
950,,,,
951,,,,
952,525,,,
953,575,,,
956,590,,,
957,532,,,
959,529,,,
960,,,,
961,490,,,
962,264,,,
965,437,,,
966,709,,,
968,939,,,
969,755,,,
971,532,,,
976,533,,,
979,787,,,
982,647,,,
983,600,,,
985,534,,,
987,657,,,
1001,895,1427,1494,1481
1002,1117,1869,2087,1930
1003,,,,
1005,906,1293,1359,1391
1007,876,,,
1008,821,1441,1486,1445
1009,939,,,
1010,683,1529,1577,1636
1011,883,1335,1391,1359
1012,870,,,
1013,837,1325,1374,1334
1020,779,1394,1397,1396
1022,1713,1064,1066,1029
1026,825,1829,1990,1688
1027,853,1482,1693,1627
1028,695,1574,1721,1817
1029,558,,,
1030,839,1481,1590,1571
1031,758,,,
1032,1301,,,
1033,749,,,
1034,970,1491,1650,1738
1035,988,1868,2048,1920
1036,773,1611,1755,1897
1037,,,,
1038,998,1804,2010,1896
1039,900,,,
1040,697,1316,1366,1353
1050,683,,,
1053,969,1586,1746,1621
1054,961,2001,2098,2026
1056,870,1465,1479,1472
1057,852,1505,1584,1579
1060,1009,1658,1817,1714
1062,894,1647,1795,1668
1063,,,,
1066,,,,
1068,1039,1515,1650,1621
1069,673,1381,1398,1398
1070,606,,,
1071,965,1420,1482,1448
1072,1238,1769,1866,1816
1073,989,,,
1074,,,,
1075,910,1439,1612,1642
1077,896,1465,1571,1584
1079,1071,,,
1080,854,1303,1374,1318
1081,873,1449,1549,1491
1082,786,,,
1083,823,1284,1331,1355
1084,,,,
1085,848,1454,1512,1477
1086,,,,
1088,777,,,
1089,836,1441,1483,1469
1092,538,,,
1093,1125,,,
1094,478,,,
1095,728,1710,1870,1983
1096,888,1793,1977,1737
1097,,,,
1098,616,1828,1968,1711
1103,776,,,
1104,789,,,
1105,681,974,1026,1088
1106,1394,2127,2300,2382
1107,633,1061,1108,1135
1108,898,1168,1304,1301
1109,827,,,
1118,867,1376,1465,1419
1119,1003,1310,1408,1384
1128,,1416,1470,1448
1129,895,1368,1427,1417
1151,903,1102,1183,1167
1199,,,,
1201,764,1285,1446,1317
1220,669,1017,1157,1113
1222,774,,,
1223,1273,1358,1541,1541
1224,711,,,
1225,733,,,
1226,817,1176,1474,1432
1229,,,,
1230,935,,,
1235,827,1347,1492,1502
1236,1578,,,
1237,980,,,
1238,763,1453,1545,1533
1240,748,,,
1242,,,,
1243,671,,,
1244,,,,
1245,894,,,
1247,674,,,
1253,783,,,
1254,1102,,,
1255,883,,,
1256,800,,,
1257,1026,,,
1258,,,,
1259,1051,,,
1260,,,,
1262,947,,,
1264,1268,,,
1266,1344,,,
1267,855,1333,1500,1569
1270,,1217,1471,1530
1301,806,1572,1633,1591
1330,850,1797,1883,1822
1331,708,1167,1240,1214
1337,975,1665,1750,1715
1338,,1651,1742,1691
1339,795,1675,1766,1702
1340,940,1629,1715,1650
1341,1000,1898,1986,1934
1342,837,,,
1343,,,,
1344,827,1579,1659,1620
1346,894,,,
1347,,,,
1349,813,,,
1350,800,,,
1351,867,1676,1754,1705
1354,645,1652,1729,1678
1355,1538,,,
1360,789,1682,1768,1719
1364,704,1538,1603,1542
1366,870,1380,1538,1572
1367,1054,,,
1368,1067,1229,1285,1300
1370,854,1738,1828,1790
1373,948,1799,1890,1836
1375,1148,1916,2018,1962
1376,714,1512,1564,1515
1378,1120,,,
1379,942,,,
1420,860,1213,1285,1285
1430,978,1301,1383,1419
1431,1279,1817,1961,2002
1432,919,1836,1932,1998
1434,,,,
1436,612,,,
1438,,,,
1440,738,1204,1271,1265
1450,1214,2226,2390,2414
1451,1569,2845,2986,3040
1452,1063,1359,1502,1506
1453,902,1400,1440,1437
1460,1294,2246,2343,2410
1462,1065,1514,1605,1630
1463,1153,1939,2064,2093
1464,1127,1919,2032,2021
1467,,,,
1468,497,1267,1319,1361
1469,896,1836,1948,1989
1473,1002,1369,1473,1485
1474,1431,1874,1978,2012
1475,747,1218,1284,1309
1501,946,1520,1533,1506
1503,1250,1943,2102,2119
1504,930,1492,1511,1510
1505,1148,1762,1809,1854
1506,856,1365,1423,1447
1507,887,1626,1711,1709
1510,1001,1476,1551,1492
1515,939,1399,1446,1452
1516,1082,1603,1599,1679
1518,668,1615,1711,1711
1519,953,1964,2075,2122
1520,1053,1609,1718,1780
1521,1043,1453,1542,1519
1522,979,1506,1631,1660
1523,977,1645,1723,1772
1524,650,1460,1491,1489
1525,,,,
1527,910,1506,1526,1493
1529,1239,1485,1522,1524
1531,875,,,
1532,1284,2081,2225,2252
1534,719,1729,1738,1774
1535,762,1373,1418,1438
1536,1077,1754,1746,1790
1537,932,1374,1379,1417
1540,825,1469,1491,1489
1541,1112,1777,1894,1947
1542,1000,1485,1529,1502
1543,858,1503,1693,1693
1545,1232,1932,2051,2079
1550,839,1231,1279,1274
1560,999,1782,1789,1842
1561,642,,,
1562,810,1396,1440,1442
1564,1131,1723,1797,1820
1566,1063,1471,1562,1576
1568,940,2023,2158,2239
1569,1151,1549,1591,1597
1570,826,1391,1443,1446
1571,886,1436,1470,1476
1581,1285,2153,2316,2327
1583,846,1540,1597,1582
1585,994,1389,1449,1455
1588,911,1477,1484,1471
1590,865,1790,1848,1921
1602,1079,1461,1500,1467
1603,898,1251,1315,1328
1604,1005,1300,1339,1380
1605,865,1357,1398,1400
1606,980,1442,1481,1449
1607,916,1196,1224,1228
1608,672,,,
1609,884,1480,1568,1559
1610,940,1075,1108,1098
1611,888,1435,1469,1477
1612,993,1622,1752,1771
1701,1228,2220,2255,2305
1702,1126,1955,2007,2002
1718,,,,
1719,926,2378,2447,2466
1720,1185,2508,2601,2626
1721,1145,2184,2211,2265
1730,1764,2580,2751,2772
1731,2000,,,
1740,950,2448,2663,2709
1741,2000,3018,3010,3185
1742,1573,3001,3046,3130
1745,,,,
1746,971,2276,2372,2399
1747,1089,1646,1660,1613
1748,1363,2518,2691,2709
1749,1151,2055,2061,2082
1752,1142,1994,2011,2035
1754,1071,2053,2092,2153
1756,1213,1988,2091,2248
1757,1113,1612,1630,1595
1760,1236,2385,2432,2516
1770,2000,3048,3174,3300
1772,1330,2924,3030,3128
1773,1739,3402,3456,3620
1775,1378,2438,2503,2537
1776,533,2989,3012,3055
1778,1025,2782,2839,2983
1801,1314,2187,2250,2318
1803,1651,2389,2449,2454
1810,1252,2627,2627,2568
1821,1334,2155,2220,2279
1824,1134,2077,2155,2229
1826,1181,1877,1957,2005
1827,1250,2260,2442,2467
1830,1037,1637,1662,1736
1832,987,1588,1609,1671
1833,1292,2087,2236,2173
1834,1115,1853,2006,2025
1835,1126,1633,1676,1748
1840,662,,,
1841,1001,1412,1401,1483
1843,1046,1531,1549,1605
1844,1026,1745,1800,1813
1845,1312,2065,2208,2196
1850,1073,1643,1758,1757
1851,1013,1711,1817,1894
1852,1014,1722,1821,1850
1854,952,1690,1800,1860
1860,1200,1829,1905,1900
1862,1192,2117,2193,2247
1863,1084,1842,1905,1946
1864,1420,2323,2431,2429
1867,1177,2379,2459,2447
1876,1530,2076,2118,2235
1879,1048,1993,2104,2181
1880,1187,2267,2364,2378
1886,1413,2375,2490,2498
1887,1556,2259,2345,2372
1890,1566,2905,3084,3219
1901,564,,,
1902,987,1563,1660,1664
1904,1188,,,
1905,1015,,,
1906,1139,1987,2033,2056
1907,1301,2099,2151,2183
1908,1144,2254,2330,2401
1913,1015,1765,1790,1818
1915,1068,1973,2112,2132
1921,775,2915,2779,2566
1922,630,2195,2281,2209
1923,1282,1974,2086,2141
1929,1210,1973,2129,2226
1930,975,1775,1890,1918
1937,,,,
1938,1034,2016,2149,2161
1940,1211,2614,2588,2509
1944,1321,2964,3086,3111
1945,1217,2358,2348,2461
1949,1655,2229,2361,2408
1950,1089,2053,2119,2152
1951,1201,2030,2143,2166
1952,1086,1834,1866,1856
1960,1240,1974,2021,2065
1966,992,1806,1961,2124
1969,1399,2057,2220,2171
1970,1080,1848,1918,1916
1982,1132,2085,2275,2377
1983,886,2483,2537,2532
1984,882,2493,2575,2523
1985,1673,2370,2377,2272
2019,1219,1896,1937,1995
2021,1446,2397,2523,2571
2025,1271,3223,2992,3180
2026,1479,2311,2463,2477
2030,1485,4042,4059,4034
2032,1316,2328,2406,2473
2035,1225,2239,2294,2372
2038,1087,2110,2173,2287
2043,1900,2819,2983,3046
2045,1264,2059,2224,2151
2047,,,,
2048,1134,1917,2077,2195
2050,1217,1969,2176,2214
2052,968,3001,3005,3003
2053,827,2232,2280,2310
2054,1289,2134,2193,2257
2056,1400,2594,2655,2572
2061,1325,2592,2583,2659
2062,1229,2191,2257,2313
2066,974,2351,2458,2563
2067,1609,2527,2641,2618
2071,,,,
2072,1112,2058,2125,2203
2081,1363,2311,2396,2467
2090,1338,3073,3102,3137
2093,1106,2272,2344,2390
2108,1752,3105,3145,3022
2109,2000,2810,2902,2826
2110,2000,3082,3215,3281
2111,1333,3014,3141,3260
2113,1613,2543,2559,2494
2114,1926,2657,2718,2628
2115,1393,2748,2776,2672
2116,1574,3080,3085,2967
2118,1092,2956,2956,2887
2119,882,2457,2472,2456
2120,1177,2918,2920,2900
2121,760,2221,2267,2234
2122,1277,2201,2256,2244
2124,1145,2189,2238,2224
2125,1205,2278,2361,2344
2126,1186,2268,2285,2238
2127,1256,2666,2654,2719
2128,1125,2283,2260,2268
2129,1174,2686,2747,2762
2130,1393,2465,2562,2542
2131,1184,2237,2252,2330
2132,1410,2335,2350,2462
2134,1444,2278,2390,2336
2135,1519,2274,2349,2307
2136,1026,2270,2298,2392
2138,1747,2619,2617,2594
2139,1675,2619,2597,2599
2140,1327,2573,2598,2610
2141,1527,2574,2574,2540
2142,2000,2931,2931,2992
2143,1479,2363,2419,2461
2144,1639,2424,2539,2524
2145,1295,2207,2281,2328
2148,1265,1981,2153,2166
2149,1209,1985,2080,2100
2150,1165,2206,2197,2178
2151,1175,2213,2233,2273
2152,1263,2319,2311,2416
2155,1464,2179,2332,2356
2163,1997,,,
2169,1230,2060,2089,2156
2170,1189,2258,2305,2335
2171,1335,2278,2352,2357
2176,1118,2283,2382,2420
2180,1270,2261,2382,2388
2184,1324,2179,2255,2366
2186,1299,2605,2673,2760
2188,1145,2028,2118,2221
2189,1037,1990,2086,2135
2190,1173,2020,2133,2223
2191,1306,2029,2103,2176
2199,2000,,,
2203,,,,
2210,2000,2988,3081,3005
2215,1615,2333,2419,2353
2301,1043,1502,1639,1693
2302,1024,1559,1637,1697
2322,1071,2005,2084,2128
2324,1193,1708,1895,1936
2330,1338,1678,1831,1863
2332,1393,2449,2483,2576
2333,990,1717,1870,1925
2338,1582,1721,1846,1884
2339,1106,2188,2367,2402
2341,1064,1818,2024,2019
2343,1134,1984,2066,2100
2346,1063,1667,1808,1836
2347,1139,1719,1944,1935
